epoch,step,train_loss,val_mean_auc,val_recall_task_0,val_recall_task_1,val_recall_task_10,val_recall_task_11,val_recall_task_2,val_recall_task_3,val_recall_task_4,val_recall_task_5,val_recall_task_6,val_recall_task_7,val_recall_task_8,val_recall_task_9
0,49,0.8410930633544922,,,,,,,,,,,,,
0,87,,0.8192592263221741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,99,0.8500308990478516,,,,,,,,,,,,,
1,149,1.0561703443527222,,,,,,,,,,,,,
1,175,,0.8137906193733215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,199,0.8764678835868835,,,,,,,,,,,,,
2,249,0.798419177532196,,,,,,,,,,,,,
2,263,,0.8100077509880066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,299,0.88818359375,,,,,,,,,,,,,
3,349,0.8758419752120972,,,,,,,,,,,,,
3,351,,0.8180336952209473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,399,0.9817854166030884,,,,,,,,,,,,,
4,439,,0.8073819279670715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,449,0.8988465070724487,,,,,,,,,,,,,
5,499,0.8941391706466675,,,,,,,,,,,,,
5,527,,0.811232328414917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,549,0.827525794506073,,,,,,,,,,,,,
6,599,0.8587834239006042,,,,,,,,,,,,,
6,615,,0.8151101469993591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
