epoch,step,test_mean_auc,test_recall_task_0,test_recall_task_1,test_recall_task_10,test_recall_task_11,test_recall_task_2,test_recall_task_3,test_recall_task_4,test_recall_task_5,test_recall_task_6,test_recall_task_7,test_recall_task_8,test_recall_task_9,train_loss,val_mean_auc,val_recall_task_0,val_recall_task_1,val_recall_task_10,val_recall_task_11,val_recall_task_2,val_recall_task_3,val_recall_task_4,val_recall_task_5,val_recall_task_6,val_recall_task_7,val_recall_task_8,val_recall_task_9
0,49,,,,,,,,,,,,,,0.4509155750274658,,,,,,,,,,,,,
0,87,,,,,,,,,,,,,,,0.8473429083824158,0.5,0.5,0.6931216716766357,0.2680412232875824,0.6851851940155029,0.2142857164144516,0.529411792755127,0.375,0.10000000149011612,0.557894766330719,0.18518517911434174,0.3164556920528412
1,99,,,,,,,,,,,,,,0.27295607328414917,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,0.2617647647857666,,,,,,,,,,,,,
1,175,,,,,,,,,,,,,,,0.846852719783783,0.5,0.5,0.6402116417884827,0.36082473397254944,0.6111111044883728,0.2857142984867096,0.4058823585510254,0.4000000059604645,0.2750000059604645,0.6000000238418579,0.31481480598449707,0.37974682450294495
2,199,,,,,,,,,,,,,,0.2583344578742981,,,,,,,,,,,,,
2,249,,,,,,,,,,,,,,0.38015586137771606,,,,,,,,,,,,,
2,263,,,,,,,,,,,,,,,0.8438642024993896,0.5166666507720947,0.6000000238418579,0.7724867463111877,0.44329896569252014,0.6604938507080078,0.3928571343421936,0.4588235318660736,0.574999988079071,0.4749999940395355,0.7894737124443054,0.42592594027519226,0.5189873576164246
3,299,,,,,,,,,,,,,,0.1932649314403534,,,,,,,,,,,,,
3,349,,,,,,,,,,,,,,0.2354741394519806,,,,,,,,,,,,,
3,351,,,,,,,,,,,,,,,0.8472220301628113,0.5166666507720947,0.5833333134651184,0.7354497313499451,0.4845360815525055,0.6481481194496155,0.4285714328289032,0.4882352948188782,0.5375000238418579,0.5249999761581421,0.6894736886024475,0.3333333432674408,0.4556961953639984
4,399,,,,,,,,,,,,,,0.2900863289833069,,,,,,,,,,,,,
4,439,,,,,,,,,,,,,,,0.8467974662780762,0.5166666507720947,0.5666666626930237,0.7566137313842773,0.42268040776252747,0.6913580298423767,0.4464285671710968,0.47058823704719543,0.5249999761581421,0.5249999761581421,0.7526316046714783,0.3888888955116272,0.5822784900665283
5,449,,,,,,,,,,,,,,0.23562997579574585,,,,,,,,,,,,,
5,499,,,,,,,,,,,,,,0.2899479568004608,,,,,,,,,,,,,
5,527,,,,,,,,,,,,,,,0.8446443676948547,0.5166666507720947,0.6333333253860474,0.7830687761306763,0.44329896569252014,0.7222222089767456,0.4642857015132904,0.4529411792755127,0.5874999761581421,0.44999998807907104,0.7263157963752747,0.48148149251937866,0.5189873576164246
6,549,,,,,,,,,,,,,,0.199835404753685,,,,,,,,,,,,,
6,599,,,,,,,,,,,,,,0.2508222758769989,,,,,,,,,,,,,
6,615,,,,,,,,,,,,,,,0.8421881794929504,0.5166666507720947,0.6166666746139526,0.7407407164573669,0.5773195624351501,0.6419752836227417,0.4285714328289032,0.5470588207244873,0.550000011920929,0.574999988079071,0.7157894968986511,0.5740740895271301,0.5189873576164246
7,649,,,,,,,,,,,,,,0.18304604291915894,,,,,,,,,,,,,
7,699,,,,,,,,,,,,,,0.24148380756378174,,,,,,,,,,,,,
7,703,,,,,,,,,,,,,,,0.8473741412162781,0.5666666626930237,0.5833333134651184,0.6455026268959045,0.30927833914756775,0.654321014881134,0.3392857015132904,0.47647058963775635,0.512499988079071,0.44999998807907104,0.6578947305679321,0.35185185074806213,0.4683544337749481
8,749,,,,,,,,,,,,,,0.14325353503227234,,,,,,,,,,,,,
8,791,,,,,,,,,,,,,,,0.8469252586364746,0.5166666507720947,0.5666666626930237,0.7724867463111877,0.5567010045051575,0.6728395223617554,0.5178571343421936,0.4882352948188782,0.5625,0.4749999940395355,0.7368420958518982,0.40740740299224854,0.6329113841056824
9,799,,,,,,,,,,,,,,0.18501536548137665,,,,,,,,,,,,,
9,849,,,,,,,,,,,,,,0.16073159873485565,,,,,,,,,,,,,
9,879,,,,,,,,,,,,,,,0.8423872590065002,0.550000011920929,0.5666666626930237,0.7142857313156128,0.49484536051750183,0.7160493731498718,0.4642857015132904,0.5,0.550000011920929,0.4749999940395355,0.7526316046714783,0.46296295523643494,0.5316455960273743
10,880,,,,,,,,,,,,,,,0.842388391494751,0.550000011920929,0.5666666626930237,0.7142857313156128,0.49484536051750183,0.7160493731498718,0.4642857015132904,0.5,0.550000011920929,0.4749999940395355,0.7526316046714783,0.46296295523643494,0.5316455960273743
10,880,0.503371000289917,0.125,0.8888888955116272,1.0,0.0,0.1818181872367859,0.3611111044883728,1.0,0.20588235557079315,1.0,0.989130437374115,0.0,0.9428571462631226,,,,,,,,,,,,,,
