epoch,step,test_auc_task_0,test_auc_task_1,test_auc_task_10,test_auc_task_11,test_auc_task_2,test_auc_task_3,test_auc_task_4,test_auc_task_5,test_auc_task_6,test_auc_task_7,test_auc_task_8,test_auc_task_9,test_f1_task_0,test_f1_task_1,test_f1_task_10,test_f1_task_11,test_f1_task_2,test_f1_task_3,test_f1_task_4,test_f1_task_5,test_f1_task_6,test_f1_task_7,test_f1_task_8,test_f1_task_9,test_precision_task_0,test_precision_task_1,test_precision_task_10,test_precision_task_11,test_precision_task_2,test_precision_task_3,test_precision_task_4,test_precision_task_5,test_precision_task_6,test_precision_task_7,test_precision_task_8,test_precision_task_9,test_recall_task_0,test_recall_task_1,test_recall_task_10,test_recall_task_11,test_recall_task_2,test_recall_task_3,test_recall_task_4,test_recall_task_5,test_recall_task_6,test_recall_task_7,test_recall_task_8,test_recall_task_9,train_loss
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011877248995006084
0,87,0.7838769555091858,0.8328917622566223,0.8567259907722473,0.8104891180992126,0.8905737996101379,0.7521228790283203,0.7048600316047668,0.7895848751068115,0.7949116826057434,0.7772212028503418,0.7966363430023193,0.7964186668395996,0.5660377144813538,0.5111111402511597,0.5446808338165283,0.28136882185935974,0.57419353723526,0.1672862470149994,0.396341472864151,0.4000000059604645,0.20481927692890167,0.451838880777359,0.2777777910232544,0.33870968222618103,0.6521739363670349,0.7666666507720947,0.4555160105228424,0.22289156913757324,0.6013513803482056,0.09336099773645401,0.4113923907279968,0.4909090995788574,0.1349206417798996,0.3385826647281647,0.1984127014875412,0.46666666865348816,0.5,0.38333332538604736,0.6772486567497253,0.3814432919025421,0.5493826866149902,0.8035714030265808,0.38235294818878174,0.3375000059604645,0.42500001192092896,0.678947389125824,0.46296295523643494,0.26582279801368713,
1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077162026427686214
1,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007351261097937822
1,175,0.8194367289543152,0.870037317276001,0.8833520412445068,0.8339196443557739,0.9042794108390808,0.8153253197669983,0.7343895435333252,0.8208580613136292,0.8188748359680176,0.8182410001754761,0.8574100136756897,0.7874549627304077,0.625,0.5544554591178894,0.5964125394821167,0.33449476957321167,0.5907990336418152,0.21750663220882416,0.41025641560554504,0.4491978585720062,0.25,0.46770602464675903,0.2600896954536438,0.34355828166007996,0.8333333134651184,0.6829268336296082,0.5175096988677979,0.2526315748691559,0.48605579137802124,0.12772585451602936,0.5436893105506897,0.3925233781337738,0.1666666716337204,0.4054054021835327,0.17159762978553772,0.3333333432674408,0.5,0.46666666865348816,0.7037037014961243,0.49484536051750183,0.7530864477157593,0.7321428656578064,0.3294117748737335,0.5249999761581421,0.5,0.5526315569877625,0.5370370149612427,0.3544303774833679,
2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008343677967786789
2,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008466060273349285
2,263,0.8042736649513245,0.8484079837799072,0.8641013503074646,0.7992569804191589,0.8947575092315674,0.8297483921051025,0.6639404892921448,0.8019922375679016,0.8092358112335205,0.8338292837142944,0.7984541654586792,0.7972213625907898,0.6382978558540344,0.5384615659713745,0.5654450058937073,0.2864721417427063,0.5789473652839661,0.261904776096344,0.3082851767539978,0.4458598792552948,0.1860465109348297,0.5191489458084106,0.2733812928199768,0.3660130798816681,0.8823529481887817,0.6363636255264282,0.5595855116844177,0.19285714626312256,0.5045871734619141,0.3928571343421936,0.22922636568546295,0.4545454680919647,0.17391304671764374,0.4357142746448517,0.2235294133424759,0.37837839126586914,0.5,0.46666666865348816,0.5714285969734192,0.5567010045051575,0.6790123581886292,0.1964285671710968,0.47058823704719543,0.4375,0.20000000298023224,0.6421052813529968,0.35185185074806213,0.3544303774833679,
3,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007751341909170151
3,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009670785628259182
