epoch,step,train_loss,val_mean_auc
0,49,0.010402464307844639,
0,87,,0.807407021522522
1,99,0.011067747138440609,
1,149,0.008178633637726307,
1,175,,0.8185892701148987
2,199,0.008755133487284184,
2,249,0.011089020408689976,
2,263,,0.8316711783409119
3,299,0.008931652642786503,
3,349,0.008307198993861675,
3,351,,0.8297325968742371
4,399,0.007322364952415228,
4,439,,0.8401182293891907
5,449,0.009936441667377949,
5,499,0.007014011964201927,
5,527,,0.8379865884780884
6,549,0.00624320050701499,
6,599,0.010908861644566059,
6,615,,0.8373854756355286
7,649,0.007763908710330725,
7,699,0.00652365991845727,
7,703,,0.8421717286109924
8,749,0.009473690763115883,
8,791,,0.8333681225776672
9,799,0.006809505168348551,
9,849,0.006356487516313791,
9,879,,0.8413519859313965
10,899,0.007953685708343983,
10,949,0.006202916149049997,
10,967,,0.8393474221229553
11,999,0.007517814636230469,
11,1049,0.006150554865598679,
11,1055,,0.8272131085395813
12,1099,0.0068891351111233234,
12,1143,,0.821531355381012
13,1149,0.006116414908319712,
13,1199,0.006205128040164709,
13,1231,,0.8367010354995728
14,1249,0.0066354405134916306,
14,1299,0.011349566280841827,
14,1319,,0.827448844909668
15,1349,0.004963898565620184,
15,1399,0.006722146645188332,
15,1407,,0.8422014117240906
16,1449,0.009490636177361012,
16,1495,,0.8376176953315735
17,1499,0.005267411470413208,
17,1549,0.005596920382231474,
17,1583,,0.8322657346725464
18,1599,0.005246283020824194,
18,1649,0.0051947180181741714,
18,1671,,0.8420835733413696
19,1699,0.00491393031552434,
19,1749,0.0071444823406636715,
19,1759,,0.8377924561500549
20,1760,,0.8377916216850281
