epoch,step,train_loss,val_mean_auc
0,49,0.01450088620185852,
0,87,,0.5031787753105164
1,99,0.017409570515155792,
1,149,0.016418959945440292,
1,175,,0.5033031702041626
2,199,0.013891397975385189,
2,249,0.014358053915202618,
2,263,,0.5033031702041626
3,299,0.015245586633682251,
3,349,0.015277251601219177,
3,351,,0.5033031702041626
4,399,0.013804164715111256,
4,439,,0.5033031702041626
5,449,0.016270628198981285,
5,499,0.015450912527740002,
5,527,,0.503303587436676
6,549,0.014682494103908539,
6,599,0.013829433359205723,
6,615,,0.503303587436676
7,649,0.01648210547864437,
7,699,0.016505178064107895,
7,703,,0.5033071041107178
8,749,0.015313051640987396,
8,791,,0.5033121705055237
9,799,0.017339065670967102,
9,849,0.016556154936552048,
9,879,,0.5033126473426819
10,899,0.014839030802249908,
