epoch,step,train_auc,train_loss,val_mean_auc
0,49,,0.017351530492305756,
0,87,,,0.6974239945411682
0,87,0.6076427698135376,,
1,99,,0.018732456490397453,
1,149,,0.018546588718891144,
1,175,,,0.7572265267372131
1,175,0.6386412382125854,,
2,199,,0.016243398189544678,
2,249,,0.015791676938533783,
2,263,,,0.7802330851554871
2,263,0.6843070983886719,,
3,299,,0.016796274110674858,
3,349,,0.015672950074076653,
3,351,,,0.8042908906936646
3,351,0.7199851870536804,,
4,399,,0.010647757910192013,
4,439,,,0.799554705619812
4,439,0.741798996925354,,
5,449,,0.011950936168432236,
5,499,,0.01381403487175703,
5,527,,,0.7831085920333862
5,527,0.7635523676872253,,
6,549,,0.012959856539964676,
6,599,,0.012693372555077076,
6,615,,,0.8171946406364441
6,615,0.7757372856140137,,
7,649,,0.012305048294365406,
7,699,,0.012791014276444912,
7,703,,,0.8165647387504578
7,703,0.7869081497192383,,
8,749,,0.011416916735470295,
8,791,,,0.8035799860954285
8,791,0.7968999743461609,,
9,799,,0.014741506427526474,
9,849,,0.012058277614414692,
9,879,,,0.8130072355270386
9,879,0.7982127070426941,,
10,899,,0.009924886748194695,
10,949,,0.014164290390908718,
10,967,,,0.8270711302757263
10,967,0.8084151744842529,,
11,999,,0.010500551201403141,
11,1049,,0.012750358320772648,
11,1055,,,0.8112941384315491
11,1055,0.8126271963119507,,
12,1099,,0.010650989599525928,
12,1143,,,0.820564866065979
12,1143,0.8188934326171875,,
13,1149,,0.010219701565802097,
13,1199,,0.01261382456868887,
13,1231,,,0.8253520131111145
13,1231,0.8237545490264893,,
14,1249,,0.011800802312791348,
14,1299,,0.013851690106093884,
14,1319,,,0.8244960308074951
14,1319,0.8298224806785583,,
15,1349,,0.011652202345430851,
15,1399,,0.013066916726529598,
15,1407,,,0.8247549533843994
15,1407,0.8283859491348267,,
16,1449,,0.009418351575732231,
16,1495,,,0.8288028836250305
16,1495,0.8435723781585693,,
17,1499,,0.013114283792674541,
17,1549,,0.011336390860378742,
17,1583,,,0.82840496301651
17,1583,0.8407772779464722,,
18,1599,,0.010095608420670033,
18,1649,,0.010151044465601444,
18,1671,,,0.8242337703704834
18,1671,0.8388463854789734,,
19,1699,,0.011516760103404522,
19,1749,,0.011502512730658054,
19,1759,,,0.827231764793396
19,1759,0.8508033752441406,,
20,1760,,,0.8272321224212646
